,strDrink,strCategory,strIngredients,Alc_type,Basic_cocktail_taste,Basic_taste,Value_ml,Value_gr,Garnish_type
900,Gin Daisy,Ordinary Drink,Gin,Gin,Fruity,,60,,
901,Gin Daisy,Ordinary Drink,Grenadine,,Fruity,sweet,,2,
902,Gin Daisy,Ordinary Drink,Orange,,Fruity,sweet,,,slice
903,Gin Daisy,Ordinary Drink,Lemon,,Fruity,sour,30,,
904,Gin Fizz,Ordinary Drink,Lemon,,Sour,sour,22.5,,
905,Gin Fizz,Ordinary Drink,Gin,Gin,Sour,,60,,
906,Gin Fizz,Ordinary Drink,Carbonated Water,,Sour,water,,,
907,Gin Fizz,Ordinary Drink,Sugar,,Sour,sweet,,4,
908,Gin Rickey,Cocktail,Soda Water,,Sour,sweet,,,top up
909,Gin Rickey,Cocktail,Lime,,Sour,sour,,,slice
910,Gin Rickey,Cocktail,Lemon,,Sour,sour,22.5,,
911,Gin Rickey,Cocktail,Grenadine,,Sour,sweet,,4,
912,Gin Rickey,Cocktail,Gin,Gin,Sour,,60,,
913,Gin Sling,Ordinary Drink,Lemon,,Sour,sour,22.5,,
914,Gin Sling,Ordinary Drink,Water,,Sour,water,,4,
915,Gin Sling,Ordinary Drink,Sugar,,Sour,sweet,,4,
916,Gin Sling,Ordinary Drink,Gin,Gin,Sour,,60,,
917,Gin Sling,Ordinary Drink,Orange Peel,,Sour,sweet,,,twist
918,Gin Smash,Ordinary Drink,Gin,Gin,Minty,,60,,
919,Gin Smash,Ordinary Drink,Cherry,,Minty,sweet,,,berry
920,Gin Smash,Ordinary Drink,Carbonated Water,,Minty,water,30,,
921,Gin Smash,Ordinary Drink,Orange,,Minty,sweet,,,slice
922,Gin Smash,Ordinary Drink,Sugar,,Minty,sweet,,4,
923,Gin Smash,Ordinary Drink,Mint,,Minty,mint,,,leaf(ves)
924,Gin Sour,Ordinary Drink,Lemon,,Sour,sour,30,,
925,Gin Sour,Ordinary Drink,Sugar,,Sour,sweet,2.5,,
926,Gin Sour,Ordinary Drink,Gin,Gin,Sour,,60,,
927,Gin Sour,Ordinary Drink,Cherry,,Sour,sweet,,,berry
928,Gin Sour,Ordinary Drink,Orange,,Sour,sweet,,,slice
929,Gin Squirt,Ordinary Drink,Grenadine,,Fruity,sweet,,4,
930,Gin Squirt,Ordinary Drink,Pineapple,,Fruity,sweet,,90,
931,Gin Squirt,Ordinary Drink,Sugar,,Fruity,sweet,,14,
932,Gin Squirt,Ordinary Drink,Strawberries,,Fruity,sweet,60,,
933,Gin Squirt,Ordinary Drink,Gin,Gin,Fruity,,45,,
934,Gin Squirt,Ordinary Drink,Carbonated Water,,Fruity,water,,,
935,Gin Swizzle,Ordinary Drink,Lime,,Sour,sour,45,,
936,Gin Swizzle,Ordinary Drink,Bitters,Bitters,Sour,,1,,
937,Gin Swizzle,Ordinary Drink,Sugar,,Sour,sweet,5,,
938,Gin Swizzle,Ordinary Drink,Gin,Gin,Sour,,60,,
939,Gin Swizzle,Ordinary Drink,Club Soda,,Sour,sweet,90,,
940,Gin Toddy,Ordinary Drink,Water,,,water,,8,
941,Gin Toddy,Ordinary Drink,Lemon Peel,,,sour,,,twist
942,Gin Toddy,Ordinary Drink,Sugar,,,sweet,,2,
943,Gin Toddy,Ordinary Drink,Gin,Gin,,,60,,
944,Girl From Ipanema,Ordinary Drink,Agave Syrup,,Sweet,sweet,10,,
945,Girl From Ipanema,Ordinary Drink,Lemon,,Sweet,sour,15,,
946,Girl From Ipanema,Ordinary Drink,Champagne,Champagne,Sweet,,,,top up
947,Girl From Ipanema,Ordinary Drink,Cachaca,Cachaca,Sweet,,25,,
948,Gluehwein,Punch / Party Drink,Water,,Spicy,water,125,,
949,Gluehwein,Punch / Party Drink,Cinnamon,,Spicy,spicy,30,,
950,Gluehwein,Punch / Party Drink,Red Wine,Wine,Spicy,,1000,,
951,Gluehwein,Punch / Party Drink,Sugar,,Spicy,sweet,,60,
952,Gluehwein,Punch / Party Drink,Cloves,,Spicy,spicy,,,whole
953,Gluehwein,Punch / Party Drink,Lemon Peel,,Spicy,sour,,14,
954,Godchild,Ordinary Drink,Vodka,Vodka,Creamy,,30,,
955,Godchild,Ordinary Drink,Amaretto,Sweet Liqueur,Creamy,,30,,
956,Godchild,Ordinary Drink,Cream,,Creamy,cream,30,,
957,Godfather,Ordinary Drink,Scotch,Whisky,Bitter,,45,,
958,Godfather,Ordinary Drink,Amaretto,Sweet Liqueur,Bitter,,22.5,,
959,Godmother,Ordinary Drink,Vodka,Vodka,Bitter,,45,,
960,Godmother,Ordinary Drink,Amaretto,Sweet Liqueur,Bitter,,22.5,,
961,Golden dream,Ordinary Drink,Orange,,Creamy,sweet,60,,
962,Golden dream,Ordinary Drink,Cream,,Creamy,cream,30,,
963,Golden dream,Ordinary Drink,Triple Sec,Triple Sec,Creamy,,60,,
964,Golden dream,Ordinary Drink,Galliano,Sweet Liqueur,Creamy,,60,,
965,Grand Blue,Ordinary Drink,Sweet And Sour,,Sweet,sweet,30,,
966,Grand Blue,Ordinary Drink,Malibu Rum,Rum,Sweet,,15,,
967,Grand Blue,Ordinary Drink,Peach Schnapps,Schnapps,Sweet,,15,,
968,Grand Blue,Ordinary Drink,Blue Curacao,Triple Sec,Sweet,,15,,
969,Grass Skirt,Ordinary Drink,Pineapple,,Sour,sweet,30,,
970,Grass Skirt,Ordinary Drink,Pineapple,,Sour,sweet,30,,
971,Grass Skirt,Ordinary Drink,Triple Sec,Triple Sec,Sour,,30,,
972,Grass Skirt,Ordinary Drink,Gin,Gin,Sour,,45,,
973,Grass Skirt,Ordinary Drink,Grenadine,,Sour,sweet,,2,
974,Grasshopper,Ordinary Drink,Creme De Cacao White,Creamy Liqueur,Creamy,,22.5,,
975,Grasshopper,Ordinary Drink,Cream,,Creamy,cream,22.5,,
976,Grasshopper,Ordinary Drink,Green Creme De Menthe,Sweet Liqueur,Creamy,,22.5,,
977,Green Goblin,Beer,Blue Curacao,Triple Sec,Bitter,,25,,
978,Green Goblin,Beer,Cider Hard,Cider,Bitter,,236.5,,
979,Green Goblin,Beer,Lager,Beer,Bitter,,236.5,,
980,Grim Reaper,Ordinary Drink,151 Proof Rum,Rum,Sweet,,30,,
981,Grim Reaper,Ordinary Drink,Grenadine,,Sweet,sweet,1,,
982,Grim Reaper,Ordinary Drink,Kahlua,Creamy Liqueur,Sewet,,30,,
983,Grizzly Bear,Ordinary Drink,Milk,,Creamy,cream,75,,
984,Grizzly Bear,Ordinary Drink,Kahlua,Creamy Liqueur,Creamy,,30,,
985,Grizzly Bear,Ordinary Drink,Amaretto,Sweet Liqueur,Creamy,,30,,
986,Grizzly Bear,Ordinary Drink,Jägermeister,Bitters,Creamy,,30,,
987,H.D.,Coffee / Tea,Bailey'S Irish Cream,Creamy Liqueur,Creamy,,80,,
988,H.D.,Coffee / Tea,Coffee,,Creamy,bitter,,,
989,H.D.,Coffee / Tea,Whisky,Whisky,Creamy,,40,,
990,Happy Skipper,Ordinary Drink,Spiced Rum,Rum,Bitter,,15,,
991,Happy Skipper,Ordinary Drink,Lime,,Bitter,sour,,,slice
992,Happy Skipper,Ordinary Drink,Ginger Ale,,Bitter,sweet,,,
993,Harvey Wallbanger,Ordinary Drink,Orange,,Sweet,sweet,120,,
994,Harvey Wallbanger,Ordinary Drink,Vodka,Vodka,Sweet,,30,,
995,Harvey Wallbanger,Ordinary Drink,Galliano,Sweet Liqueur,Sweet,,15,,
996,Havana Cocktail,Ordinary Drink,Light Rum,Rum,Bitter,,30,,
997,Havana Cocktail,Ordinary Drink,Pineapple,,Bitter,sweet,30,,
998,Havana Cocktail,Ordinary Drink,Lemon,,Bitter,sour,,4,
999,Hawaiian Cocktail,Ordinary Drink,Triple Sec,Triple Sec,Fruity,,15,,
1000,Hawaiian Cocktail,Ordinary Drink,Gin,Gin,Fruity,,60,,
1001,Hawaiian Cocktail,Ordinary Drink,Pineapple,,Fruity,sweet,,14,
1002,Hemingway Special,Ordinary Drink,Maraschino Liqueur,Sweet Liqueur,Sweet,,90,,
1003,Hemingway Special,Ordinary Drink,Lime,,Sweet,sour,90,,
1004,Hemingway Special,Ordinary Drink,Rum,Rum,Sweet,,360,,
1005,Hemingway Special,Ordinary Drink,Grapefruit Juice,,Sweet,bitter,240,,
1006,Herbal flame,Coffee / Tea,Hot Damn,Schnapps,Sweet,,125,,
1007,Herbal flame,Coffee / Tea,Tea,,Sweet,bitter,,,top up
1008,Highland Fling Cocktail,Ordinary Drink,Orange Bitters,Bitters,Bitter,,2,,
1009,Highland Fling Cocktail,Ordinary Drink,Scotch,Whisky,Bitter,,45,,
1010,Highland Fling Cocktail,Ordinary Drink,Olive,,Bitter,salty,30,,
1011,Highland Fling Cocktail,Ordinary Drink,Sweet Vermouth,Vermouth,Bitter,,22.5,,
1012,Horse's Neck,Ordinary Drink,Brandy,Brandy,Bitter,,60,,
1013,Horse's Neck,Ordinary Drink,Ginger Ale,,Bitter,sweet,150,,
1014,Horse's Neck,Ordinary Drink,Lemon Peel,,Bitter,sour,,,strip
1015,Horse's Neck,Ordinary Drink,Bitters,Bitters,Bitter,,2,,
1016,Hot Creamy Bush,Coffee / Tea,Bailey'S Irish Cream,Creamy Liqueur,Creamy,,18.75,,
1017,Hot Creamy Bush,Coffee / Tea,Coffee,,Creamy,bitter,180,,
1018,Hot Creamy Bush,Coffee / Tea,Irish Whiskey,Whisky,Creamy,,25,,
1019,Ice Pick #1,Ordinary Drink,Lemon,,Sour,sour,15,,
1020,Ice Pick #1,Ordinary Drink,Iced Tea,,Sour,bitter,180,,
1021,Ice Pick #1,Ordinary Drink,Vodka,Vodka,Sour,,45,,
1022,Iced Coffee Fillip,Coffee / Tea,Coffee,,Creamy,bitter,,,
1023,Iced Coffee Fillip,Coffee / Tea,Kahlua,Creamy Liqueur,Creamy,,,8,
1024,Imperial Cocktail,Cocktail,Aperol,Aperol,Sour,,40,,
1025,Imperial Cocktail,Cocktail,Gin,Gin,Sour,,20,,
1026,Imperial Cocktail,Cocktail,Lime,,Sour,sour,40,,
1027,Imperial Fizz,Ordinary Drink,Lemon,,Bitter,sour,22.5,,
1028,Imperial Fizz,Ordinary Drink,Blended Whiskey,Whisky,Bitter,,45,,
1029,Imperial Fizz,Ordinary Drink,Carbonated Water,,Bitter,water,,,
1030,Imperial Fizz,Ordinary Drink,Sugar,,Bitter,sweet,,4,
1031,Imperial Fizz,Ordinary Drink,Light Rum,Rum,Bitter,,15,,
1032,Irish Coffee,Coffee / Tea,Whipped Cream,,Creamy,cream,,,ml
1033,Irish Coffee,Coffee / Tea,Sugar,,Creamy,sweet,,4,
1034,Irish Coffee,Coffee / Tea,Irish Whiskey,Whisky,Creamy,,45,,
1035,Irish Coffee,Coffee / Tea,Coffee,,Creamy,bitter,240,,
1036,Irish Curdling Cow,Cocktail,Vodka,Vodka,Creamy,,22.5,,
1037,Irish Curdling Cow,Cocktail,Bourbon,Whisky,Creamy,,22.5,,
1038,Irish Curdling Cow,Cocktail,Orange,,Creamy,sweet,75,,
1039,Irish Curdling Cow,Cocktail,Bailey'S Irish Cream,Creamy Liqueur,Creamy,,22.5,,
1040,Irish Russian,Beer,Kahlua,Creamy Liqueur,Creamy,,25,,
1041,Irish Russian,Beer,Coca-Cola,,Creamy,sweet,1,,
1042,Irish Russian,Beer,Vodka,Vodka,Creamy,,25,,
1043,Irish Russian,Beer,Guinness Stout,Beer,Creamy,,,,top up
1044,Irish Spring,Ordinary Drink,Sweet And Sour,,Sour,sweet,30,,
1045,Irish Spring,Ordinary Drink,Orange,,Sour,sweet,30,,
1046,Irish Spring,Ordinary Drink,Orange,,Sour,sweet,,,slice
1047,Irish Spring,Ordinary Drink,Cherry,,Sour,sweet,,,berry
1048,Irish Spring,Ordinary Drink,Peach Brandy,Brandy,Sour,,15,,
1049,Irish Spring,Ordinary Drink,Irish Whiskey,Whisky,Sour,,30,,
1050,Jack Rose Cocktail,Ordinary Drink,Lime,,Sour,sour,15,,
1051,Jack Rose Cocktail,Ordinary Drink,Grenadine,,Sour,sweet,,4,
1052,Jack Rose Cocktail,Ordinary Drink,Apple Brandy,Brandy,Sour,,45,,
1053,Jack's Vanilla Coke,Other/Unknown,Tennessee Whiskey,Whisky,Sweet,,60,,
1054,Jack's Vanilla Coke,Other/Unknown,Vanilla Extract,,Sweet,sweet,,4,
1055,Jack's Vanilla Coke,Other/Unknown,Coca-Cola,,Sweet,sweet,330,,
1056,Jackhammer,Ordinary Drink,Amaretto,Sweet Liqueur,Bitter,,30,,
1057,Jackhammer,Ordinary Drink,Jack Daniels,Whisky,Bitter,,30,,
1058,Jam Donut,Shot,Chambord Raspberry Liqueur,Sweet Liqueur,Creamy,,10,,
1059,Jam Donut,Shot,Baileys Irish Cream,Creamy Liqueur,Creamy,,20,,
1060,Jam Donut,Shot,Sugar Syrup,,Creamy,sweet,,4,
1061,Jam Donut,Shot,Sugar,,Creamy,sweet,,0.72,
1062,Jamaica Kiss,Milk / Float / Shake,Light Rum Jamaican,Rum,Creamy,,25,,
1063,Jamaica Kiss,Milk / Float / Shake,Milk,,Creamy,cream,,,
1064,Jamaica Kiss,Milk / Float / Shake,Coffee Liqueur,,Creamy,bitter,25,,
1065,Jamaican Coffee,Coffee / Tea,Rum,Rum,Creamy,,30,,
1066,Jamaican Coffee,Coffee / Tea,Coffee,,Creamy,bitter,58.33333333,,
1067,Jamaican Coffee,Coffee / Tea,Water,,Creamy,water,175,,
1068,Jamaican Coffee,Coffee / Tea,Whipped Cream,,Creamy,cream,,,ml
1069,Japanese Fizz,Ordinary Drink,Egg,,Sour,egg,45,,
1070,Japanese Fizz,Ordinary Drink,Port,Port,Sour,,,14,
1071,Japanese Fizz,Ordinary Drink,Carbonated Water,,Sour,water,,,
1072,Japanese Fizz,Ordinary Drink,Lemon,,Sour,sour,22.5,,
1073,Japanese Fizz,Ordinary Drink,Blended Whiskey,Whisky,Sour,,45,,
1074,Japanese Fizz,Ordinary Drink,Sugar,,Sour,sweet,,4,
1075,Jello shots,Shot,Vodka,Vodka,Sweet,,474,,
1076,Jello shots,Shot,Jello,,Sweet,sweet,,270,
1077,Jello shots,Shot,Water,,Sweet,water,711,,
1078,Jelly Bean,Shot,Blackberry Brandy,Brandy,Spicy,,30,,
1079,Jelly Bean,Shot,Anis,,Spicy,spicy,30,,
1080,Jewel Of The Nile,Ordinary Drink,Chartreuse,,Bitter,,15,,
1081,Jewel Of The Nile,Ordinary Drink,Gin,Gin,Bitter,,45,,
1082,Jewel Of The Nile,Ordinary Drink,Chartreuse,,Bitter,,15,,
1083,Jitterbug,Cocktail,Lime,,Sweet,sour,25,,
1084,Jitterbug,Cocktail,Vodka,Vodka,Sweet,,44,,
1085,Jitterbug,Cocktail,Soda Water,,Sweet,sweet,,,top up
1086,Jitterbug,Cocktail,Gin,Gin,Sweet,,88,,
1087,Jitterbug,Cocktail,Grenadine,,Sweet,sweet,3,,
1088,Jitterbug,Cocktail,Sugar Syrup,,Sweet,sweet,3,,
1089,Jitterbug,Cocktail,Sugar,,Sweet,sweet,,,around the rim
1090,John Collins,Ordinary Drink,Bourbon,Whisky,Bitter,,60,,
1091,John Collins,Ordinary Drink,Orange,,Bitter,sweet,,,slice
1092,John Collins,Ordinary Drink,Club Soda,,Bitter,sweet,90,,
1093,John Collins,Ordinary Drink,Cherry,,Bitter,sweet,,,berry
1094,John Collins,Ordinary Drink,Lemon,,Bitter,sour,30,,
1095,John Collins,Ordinary Drink,Sugar,,Bitter,sweet,5,,
1096,Kamikaze,Ordinary Drink,Triple Sec,Triple Sec,Sour,,30,,
1097,Kamikaze,Ordinary Drink,Lime,,Sour,sour,30,,
1098,Kamikaze,Ordinary Drink,Vodka,Vodka,Sour,,30,,
1099,Karsk,Ordinary Drink,Coffee,,Creamy,bitter,30,,
1100,Karsk,Ordinary Drink,Grain Alcohol,Vodka,Creamy,,60,,
1101,Kentucky B And B,Ordinary Drink,Bourbon,Whisky,Bitter,,60,,
1102,Kentucky B And B,Ordinary Drink,Benedictine,Sweet Liqueur,Bitter,,15,,
1103,Kentucky Colonel,Ordinary Drink,Lemon Peel,,Bitter,sour,,,twist
1104,Kentucky Colonel,Ordinary Drink,Benedictine,Sweet Liqueur,Bitter,,15,,
1105,Kentucky Colonel,Ordinary Drink,Bourbon,Whisky,Bitter,,90,,
1106,Kioki Coffee,Coffee / Tea,Brandy,Brandy,Creamy,,15,,
1107,Kioki Coffee,Coffee / Tea,Kahlua,Creamy Liqueur,Creamy,,30,,
1108,Kioki Coffee,Coffee / Tea,Coffee,,Creamy,bitter,,,
1109,Kir,Ordinary Drink,Creme De Cassis,Sweet Liqueur,Sweet,,30,,
1110,Kir,Ordinary Drink,Champagne,Champagne,Sweet,,150,,
1113,Kiss me Quick,Ordinary Drink,Apple Juice,,Fruity,sweet,80,,
1114,Kiss me Quick,Ordinary Drink,Tonic Water,,Fruity,bitter,70,,
1115,Kiss me Quick,Ordinary Drink,Apfelkorn,Sweet Liqueur,Fruity,,20,,
1116,Kiss me Quick,Ordinary Drink,Cranberry Vodka,Vodka,Fruity,,40,,
1117,Kiwi Lemon,Ordinary Drink,Bitter Lemon,Bitters,Bitter,,60,,
1118,Kiwi Lemon,Ordinary Drink,Kiwi Liqueur,Sweet Liqueur,Bitter,,30,,
1119,Kool First Aid,Shot,Tropicana,,Fruity,sweet,2.5,,
1120,Kool First Aid,Shot,151 Proof Rum Light,Rum,Fruity,,60,,
1121,Kool-Aid Shot,Shot,Cranberry Juice,,Fruity,sour,,,
1122,Kool-Aid Shot,Shot,Vodka,Vodka,Fruity,,25,,
1123,Kool-Aid Shot,Shot,Triple Sec,Triple Sec,Fruity,,25,,
1124,Kool-Aid Shot,Shot,Sloe Gin,Gin,Fruity,,25,,
1125,Kool-Aid Shot,Shot,Amaretto,Sweet Liqueur,Fruity,,25,,
1126,Kool-Aid Slammer,Shot,Vodka,Vodka,Fruity,,15,,
1127,Kool-Aid Slammer,Shot,Grape Soda,,Fruity,sweet,15,,
1128,Kurant Tea,Coffee / Tea,Tea,,Sweet,sweet,237,,
1129,Kurant Tea,Coffee / Tea,Absolut Kurant,Vodka,Sweet,,40,,
1130,Lady Love Fizz,Ordinary Drink,Lemon,,Creamy,sour,22.5,,
1131,Lady Love Fizz,Ordinary Drink,Cream,,Creamy,cream,,8,
1132,Lady Love Fizz,Ordinary Drink,Carbonated Water,,Creamy,water,,,
1133,Lady Love Fizz,Ordinary Drink,Sugar,,Creamy,sweet,,4,
1134,Lady Love Fizz,Ordinary Drink,Gin,Gin,Creamy,,60,,
1135,Lady Love Fizz,Ordinary Drink,Egg,,Creamy,egg,45,,
1136,Lemon Drop,Cocktail,Lemon,,Sour,sour,22.5,,
1137,Lemon Drop,Cocktail,Absolut Vodka,Vodka,Sour,,37.5,,
1138,Lemon Drop,Cocktail,Cointreau,Triple Sec,Sour,,37.5,,
1139,Lemon Shot,Shot,Sugar,,Sour,sweet,,,
1140,Lemon Shot,Shot,Lemon,,Sour,sour,,,wedge
1141,Lemon Shot,Shot,151 Proof Rum,Rum,Sour,,,,
1142,Lemon Shot,Shot,Galliano,Sweet Liqueur,Sour,,15,,
1143,Lemon Shot,Shot,Absolut Citron,Vodka,Sour,,15,,
1144,Limona Corona,Beer,Corona,Beer,Sour,,330,,
1145,Limona Corona,Beer,Bacardi Limon,Rum,Sour,,30,,
1146,Loch Lomond,Ordinary Drink,Scotch,Whisky,Bitter,,60,,
1147,Loch Lomond,Ordinary Drink,Dry Vermouth,Vermouth,Bitter,,15,,
1148,Loch Lomond,Ordinary Drink,Lemon Peel,,Bitter,sour,,,twist
1149,Loch Lomond,Ordinary Drink,Drambuie,Whisky,Bitter,,15,,
1150,London Town,Ordinary Drink,Maraschino Liqueur,Sweet Liqueur,Bitter,,15,,
1151,London Town,Ordinary Drink,Gin,Gin,Bitter,,45,,
1152,London Town,Ordinary Drink,Orange Bitters,Bitters,Bitter,,2,,
1153,Lone Tree Cocktail,Ordinary Drink,Sweet Vermouth,Vermouth,Bitter,,22.5,,
1154,Lone Tree Cocktail,Ordinary Drink,Gin,Gin,Bitter,,45,,
1155,Lone Tree Cooler,Ordinary Drink,Gin,Gin,Bitter,,,,
1156,Lone Tree Cooler,Ordinary Drink,Lemon Peel,,Bitter,sour,,,
1157,Lone Tree Cooler,Ordinary Drink,Dry Vermouth,Vermouth,Bitter,,,,
1158,Lone Tree Cooler,Ordinary Drink,Orange Peel,,Bitter,sweet,,,
1159,Lone Tree Cooler,Ordinary Drink,Sugar,,Bitter,sweet,,,
1160,Lone Tree Cooler,Ordinary Drink,Carbonated Water,,Bitter,water,,,
1161,Long Island Iced Tea,Ordinary Drink,Gin,Gin,Sweet,,15,,
1162,Long Island Iced Tea,Ordinary Drink,Light Rum,Rum,Sweet,,15,,
1163,Long Island Iced Tea,Ordinary Drink,Vodka,Vodka,Sweet,,15,,
1164,Long Island Iced Tea,Ordinary Drink,Coca-Cola,,Sweet,sweet,1,,
1165,Long Island Iced Tea,Ordinary Drink,Tequila,Tequila,Sweet,,15,,
1166,Long Island Iced Tea,Ordinary Drink,Lemon Peel,,Sweet,sour,,,twist
1167,Long Island Tea,Ordinary Drink,Gin,Gin,Sweet,,15,,
1168,Long Island Tea,Ordinary Drink,Vodka,Vodka,Sweet,,15,,
1169,Long Island Tea,Ordinary Drink,Coca-Cola,,Sweet,sweet,6,,
1170,Long Island Tea,Ordinary Drink,Light Rum,Rum,Sweet,,15,,
1171,Long Island Tea,Ordinary Drink,Lemon,,Sweet,sour,22.5,,
1172,Long Island Tea,Ordinary Drink,Tequila,Tequila,Sweet,,15,,
1173,Long vodka,Ordinary Drink,Tonic Water,,Bitter,bitter,100,,
1174,Long vodka,Ordinary Drink,Angostura Bitters,Bitters,Bitter,,4,,
1175,Long vodka,Ordinary Drink,Vodka,Vodka,Bitter,,50,,
1176,Long vodka,Ordinary Drink,Lime,,Bitter,sour,15,,
1177,Lord And Lady,Ordinary Drink,Dark Rum,Rum,Creamy,,45,,
1178,Lord And Lady,Ordinary Drink,Tia Maria,Creamy Liqueur,Creamy,,15,,
1179,Lunch Box,Beer,Amaretto,Sweet Liqueur,Bitter,,25,,
1180,Lunch Box,Beer,Beer,Beer,Bitter,,330,,
1181,Lunch Box,Beer,Orange,,Bitter,sweet,30,,
1182,Mai Tai,Ordinary Drink,Cherry,,Sweet,sweet,,,berry
1183,Mai Tai,Ordinary Drink,Orgeat Syrup,,Sweet,sweet,15,,
1184,Mai Tai,Ordinary Drink,Light Rum,Rum,Sweet,,30,,
1185,Mai Tai,Ordinary Drink,Sweet And Sour,,Sweet,sweet,45,,
1186,Mai Tai,Ordinary Drink,Triple Sec,Triple Sec,Sweet,,15,,
1187,Malibu Twister,Cocktail,Malibu Rum,Rum,Fruity,,60,,
1188,Malibu Twister,Cocktail,Cranberry Juice,,Fruity,sour,30,,
1189,Malibu Twister,Cocktail,Tropicana,,Fruity,sweet,60,,
1190,Manhattan,Cocktail,Cherry,,Bitter,sweet,,,berry
1191,Manhattan,Cocktail,Bourbon Blended,Whisky,Bitter,,75,,
1192,Manhattan,Cocktail,Angostura Bitters,Bitters,Bitter,,,,
1193,Manhattan,Cocktail,Sweet Vermouth,Vermouth,Bitter,,22.5,,
1194,Manhattan,Cocktail,Orange Peel,,Bitter,sweet,,,twist
1195,Margarita,Ordinary Drink,Tequila,Tequila,Sour,,45,,
1196,Margarita,Ordinary Drink,Triple Sec,Triple Sec,Sour,,15,,
1197,Margarita,Ordinary Drink,Lime,,Sour,sour,30,,
1198,Margarita,Ordinary Drink,Salt,,Sour,salty,,,around the rim
1199,Martinez Cocktail,Cocktail,Dry Vermouth,Vermouth,,,30,,
1200,Martinez Cocktail,Cocktail,Triple Sec,Triple Sec,,,,1,
1201,Martinez Cocktail,Cocktail,Gin,Gin,,,30,,
1202,Martinez Cocktail,Cocktail,Cherry,,,sweet,,,berry
1203,Martinez Cocktail,Cocktail,Orange Bitters,Bitters,,,1,,
1204,Martini,Cocktail,Gin,Gin,,,50,,
1205,Martini,Cocktail,Olive,,,salty,30,,
1206,Martini,Cocktail,Dry Vermouth,Vermouth,,,10,,
1207,Mary Pickford,Cocktail,Cherry,,,sweet,,,berry
1208,Mary Pickford,Cocktail,Pineapple,,,sweet,30,,
1209,Mary Pickford,Cocktail,Grenadine,,,sweet,,2,
1210,Mary Pickford,Cocktail,Maraschino Liqueur,Sweet Liqueur,,,,2,
1211,Mary Pickford,Cocktail,Light Rum,Rum,,,45,,
1212,Miami Vice,Cocktail,151 Proof Rum,Rum,,,150,,
1213,Miami Vice,Cocktail,Pina Colada Mix,,,sweet,,,
1214,Miami Vice,Cocktail,Daiquiri Mix,,,sweet,,,
1215,Midnight Cowboy,Ordinary Drink,Bourbon,Whisky,,,60,,
1216,Midnight Cowboy,Ordinary Drink,Cream,,,cream,15,,
1217,Midnight Cowboy,Ordinary Drink,Dark Rum,Rum,,,30,,
1218,Midnight Manx,Ordinary Drink,Kahlua,Creamy Liqueur,,,30,,
1219,Midnight Manx,Ordinary Drink,Cream,,,cream,60,,
1220,Midnight Manx,Ordinary Drink,Bailey'S Irish Cream,Creamy Liqueur,,,30,,
1221,Midnight Manx,Ordinary Drink,Coffee,,,bitter,60,,
1222,Midnight Manx,Ordinary Drink,Goldschlager,Schnapps,,,,,
1223,Midnight Mint,Cocktail,White Creme De Menthe,Sweet Liqueur,,,22.5,,
1224,Midnight Mint,Cocktail,Bailey'S Irish Cream,Creamy Liqueur,,,30,,
1225,Midnight Mint,Cocktail,Cream,,,cream,22.5,,
1226,Mimosa,Ordinary Drink,Orange,,,sweet,60,,
1227,Mimosa,Ordinary Drink,Champagne,Champagne,,,,,
1228,Mississippi Planters Punch,Ordinary Drink,Bourbon,Whisky,,,15,,
1229,Mississippi Planters Punch,Ordinary Drink,Light Rum,Rum,,,15,,
1230,Mississippi Planters Punch,Ordinary Drink,Sugar,,,sweet,,14,
1231,Mississippi Planters Punch,Ordinary Drink,Brandy,Brandy,,,30,,
1232,Mississippi Planters Punch,Ordinary Drink,Lemon,,,sour,22.5,,
1233,Mississippi Planters Punch,Ordinary Drink,Carbonated Water,,,water,,,
1234,Mocha-Berry,Coffee / Tea,Coffee,,,bitter,180,,
1235,Mocha-Berry,Coffee / Tea,Cocoa Powder,,,sweet,,28,
1236,Mocha-Berry,Coffee / Tea,Whipped Cream,,,cream,,,ml
1237,Mocha-Berry,Coffee / Tea,Chambord Raspberry Liqueur,Sweet Liqueur,,,60,,
1238,Mojito,Cocktail,Sugar,,Minty ,sweet,,8,
1239,Mojito,Cocktail,Mint,,Minty ,mint,,50,
1240,Mojito,Cocktail,Lime,,Minty ,sour,30,,
1241,Mojito,Cocktail,Soda Water,,Minty ,sweet,,,
1242,Mojito,Cocktail,Light Rum,Rum,Minty ,,75,,
1243,Mojito #3,Cocktail,Dark Rum Jamaican,Rum,Minty ,,125,,
1244,Mojito #3,Cocktail,Club Soda,,Minty ,sweet,125,,
1245,Mojito #3,Cocktail,Lemon,,Minty ,sour,30,,
1246,Mojito #3,Cocktail,Angostura Bitters,Bitters,Minty ,,8,,
1247,Mojito #3,Cocktail,Mint,,Minty ,mint,,50,
1248,Monkey Gland,Ordinary Drink,Grenadine,,,sweet,,4,
1249,Monkey Gland,Ordinary Drink,Gin,Gin,,,60,,
1250,Monkey Gland,Ordinary Drink,Orange,,,sweet,15,,
1251,Monkey Gland,Ordinary Drink,Benedictine,Sweet Liqueur,,,,4,
1252,Monkey Wrench,Ordinary Drink,Bitters,Bitters,,,1,,
1253,Monkey Wrench,Ordinary Drink,Light Rum,Rum,,,45,,
1254,Monkey Wrench,Ordinary Drink,Grapefruit Juice,,,bitter,90,,
